review_id,title,intervention,simplified_intervention,manual_intervention,condition,simplified_condition,manual_condition,orig_simplified_intervention,orig_simplified_condition,excluded,same_intervention,same_condition,same_intervention_condition
CD002933,Electromagnetic therapy for treating venous leg ulcers,electromagnetic therapy,treatment with energy waves,1,venous leg ulcers,leg ulcers from poor blood flow,0,electromagnetic treatment,leg ulcers from poor blood flow,0,0,0,0
CD006774,Unfractionated or low‐molecular weight heparin for induction of remission in ulcerative colitis,unfractionated heparin or low molecular weight heparin,blood thinner,0,ulcerative colitis,bowel problem,1,blood thinner,ulcerative colitis,0,0,0,0
CD004302,Ciliary neurotrophic factor (CNTF) for amyotrophic lateral sclerosis or motor neuron disease,ciliary neurotrophic factor,medicine to help nerves,0,amyotrophic lateral sclerosis,muscle weakness disease,0,medicine to help nerves,muscle weakness disease,0,0,0,0
CD008534,Surgical repair of spontaneous perineal tears that occur during childbirth versus no intervention,surgical repair,surgery,1,perineal tears during childbirth,tears during birth,0,suture the tear,tears during birth,0,0,0,0
CD002270,Diuretic therapy for newborn infants with posthemorrhagic ventricular dilatation,diuretic therapy,medicine that makes you pee more,1,posthemorrhagic ventricular dilatation,brain fluid buildup after bleeding in babies,0,diuretic medicine,brain fluid buildup after bleeding in babies,0,0,0,0
CD008844,Granulocyte colony stimulating factor therapy for acute myocardial infarction,granulocyte colony stimulating factor therapy,treatment,1,acute myocardial infarction,heart attack,0,medicine to boost stem cells,heart attack,0,0,0,0
CD002127,Mitoxantrone for multiple sclerosis,mitoxantrone,medicine for MS,0,multiple sclerosis,MS,1,medicine for MS,multiple sclerosis,0,0,0,0
CD004525,Etanercept for the treatment of rheumatoid arthritis,etanercept,medicine for arthritis,0,rheumatoid arthritis,arthritis,0,medicine for arthritis,arthritis,0,0,0,0
CD005308,Continuous positive airway pressure delivery interfaces for obstructive sleep apnoea,CPAP delivery interface,sleep breathing mask,1,obstructive sleep apnoea,sleep apnea,0,CPAP mask type,sleep apnea,0,0,0,0
CD007545,"Rifamycins (rifampicin, rifabutin and rifapentine) compared to isoniazid for preventing tuberculosis in HIV‐negative people at risk of active TB",rifamycins,medicine,1,active tuberculosis,TB,1,rifampicin medicine,active tuberculosis,0,0,0,0
CD005978,Zinc supplementation for the prevention of pneumonia in children aged 2 months to 59 months,zinc supplementation,supplements,1,pneumonia,lung infection,1,zinc pills,pneumonia,0,0,0,0
CD009183,Valproic acid and sodium valproate for neuropathic pain and fibromyalgia in adults,valproate,medicine,1,neuropathic pain,nerve pain,0,valproate medicine,nerve pain,0,0,0,0
CD008476,Folic acid for fragile X syndrome,folic acid,supplement,1,fragile X syndrome,fragile X syndrome,0,folic acid supplement,fragile X syndrome,1,0,1,0
CD005458,Antibiotics for mastitis in breastfeeding women,antibiotic,antibiotics,0,mastitis,breast infection,0,antibiotics,breast infection,0,0,0,0
CD007277,Abatacept for rheumatoid arthritis,abatacept,medicine for arthritis,0,rheumatoid arthritis,arthritis,0,medicine for arthritis,arthritis,0,0,0,0
CD002272,Nasal intermittent positive pressure ventilation (NIPPV) versus nasal continuous positive airway pressure (NCPAP) for apnea of prematurity,nasal intermittent positive pressure ventilation,nasal breathing machine,0,apnea of prematurity,breathing stops in premature babies,0,nasal breathing machine,breathing stops in premature babies,0,0,0,0
CD004023,Early versus deferred treatment for early stage multiple myeloma,early treatment,treatment now,0,early stage multiple myeloma,early stage blood cancer,0,treatment now,early stage blood cancer,0,0,0,0
CD006221,Dehydroepiandrosterone (DHEA) supplementation for cognitive function in healthy elderly people,DHEA supplementation,Supplement to help brain work,1,cognitive function,brain function,0,DHEA pills,brain function,0,0,0,0
CD003435,Surgical decompression for cerebral oedema in acute ischaemic stroke,surgical decompression,brain surgery to relieve pressure,0,cerebral oedema in acute ischaemic stroke,swelling in the brain after a sudden stroke,0,brain surgery to relieve pressure,swelling in the brain after a sudden stroke,0,0,0,0
CD004778,Laparoscopic repair for perforated peptic ulcer disease,laparoscopic repair,surgery with small cuts,1,perforated peptic ulcer,hole in stomach,1,laparoscopic surgery,perforated stomach ulcer,0,0,0,0
CD003223,Calcitonin for metastatic bone pain,calcitonin,medicine,1,metastatic bone pain,cancer bone pain,0,calcitonin medicine,cancer bone pain,0,0,0,0
CD007969,Light‐emitting diode phototherapy for unconjugated hyperbilirubinaemia in neonates,LED phototherapy,LED light treatment,0,unconjugated hyperbilirubinaemia,high baby yellow blood,0,LED light treatment,high baby yellow blood,0,0,0,0
CD008231,Intranasal ipratropium bromide for the common cold,intranasal ipratropium bromide,nose spray medicine,0,common cold,common cold,0,nose spray medicine,common cold,0,0,1,0
CD002862,Amniotomy alone for induction of labour,amniotomy alone,breaking water bag,1,induction of labour,starting labour,0,rupturing the water sac,starting labour,0,0,0,0
CD005229,Therapeutic exercise for people with amyotrophic lateral sclerosis or motor neuron disease,exercise,exercise,0,amyotrophic lateral sclerosis or motor neuron disease,muscle weakness disease,0,exercise,muscle weakness disease,0,1,0,0
CD006321,Human growth hormone and glutamine for patients with short bowel syndrome,human growth hormone and glutamine,medicine to help you grow and body supplement,1,short bowel syndrome,short bowel syndrome,0,growth hormone and glutamine,short bowel syndrome,0,0,1,0
CD007320,Joint lavage for osteoarthritis of the knee,joint lavage,joint washing,0,knee osteoarthritis,knee arthritis,0,joint washing,knee arthritis,0,0,0,0
CD003998,Steroids for idiopathic sudden sensorineural hearing loss,steroids,steroids,1,idiopathic sudden sensorineural hearing loss,sudden hearing loss,0,steroid medicine,sudden hearing loss,0,1,0,0
CD002806,Embryo freezing for preventing ovarian hyperstimulation syndrome,embryo freezing,freezing eggs,0,ovarian hyperstimulation syndrome,ovary swelling,0,freezing eggs,ovary swelling,0,0,0,0
CD005225,Creatine for amyotrophic lateral sclerosis/motor neuron disease,creatine,muscle supplement,1,amyotrophic lateral sclerosis,ALS,0,creatin,ALS,0,0,0,0
CD002062,Corticosteroids for chronic inflammatory demyelinating polyradiculoneuropathy,corticosteroids,steroids,1,chronic inflammatory demyelinating polyradiculoneuropathy,nerve disorder that causes weakness for a long time,1,steroid medicine,nerve disorder that causes weakness,0,0,0,0
CD006565,Cannabinoids for Tourette's Syndrome,cannabinoids,marijuana medicine,1,tourette's syndrome,Tourette,1,cannabis medicine,Tourette's syndrome,0,0,0,0
CD006817,Allopurinol for preventing mortality and morbidity in newborn infants with hypoxic‐ischaemic encephalopathy,allopurinol,medicine to prevent brain damage,0,hypoxic-ischaemic encephalopathy,newborn brain damage from lack of oxygen,0,medicine to prevent brain damage,newborn brain damage from lack of oxygen,0,0,0,0
CD001153,Mannitol for acute stroke,mannitol,medicine to reduce swelling in the brain,0,acute stroke,sudden brain attack,0,medicine to reduce swelling in the brain,sudden brain attack,0,0,0,0
CD003141,Physical therapies for reducing and controlling lymphoedema of the limbs,physical therapy,physical therapy,0,lymphoedema of the limbs,swelling in arms or legs,0,physical therapy,swelling in arms or legs,0,1,0,0
CD005564,Artemether‐lumefantrine (six‐dose regimen) for treating uncomplicated falciparum malaria,artemether-lumefantrine,medicine,1,uncomplicated falciparum malaria,malaria,0,artemether-lumefantrine medicine,malaria,0,0,0,0
CD007913,Primary prophylactic colony‐stimulating factors for the prevention of chemotherapy‐induced febrile neutropenia in breast cancer patients,colony-stimulating factors,medicine,1,chemotherapy-induced febrile neutropenia,fever after chemo,1,medicine to prevent low white blood cells during chemo,fever from low white blood cells during chemo,0,0,0,0
CD007459,Mobile phone messaging for facilitating self‐management of long‐term illnesses,mobile phone messaging,text messages from phone,0,long-term illnesses,diseases that last for a long time,1,text messages from phone,chronic diseases,0,0,0,0
CD006727,Continuation and maintenance treatments for depression in older people,continuation and maintenance treatments,treatment after depression,0,relapse and recurrence of depression in older people,depression coming back in older adults,0,treatment after depression,depression coming back in older adults,0,0,0,0
CD002985,Gold as an oral corticosteroid sparing agent in stable asthma,gold,gold medicine,0,chronic steroid dependent asthma,asthma needing steroids that lasts for a long time,1,gold medicine,severe asthma needing steroids,0,0,0,0
CD003525,Surgery for lateral elbow pain,surgery,surgery,0,lateral elbow pain,elbow pain,0,surgery,elbow pain,0,1,0,0
CD003485,Steroid therapy for meconium aspiration syndrome in newborn infants,steroid therapy,steroid medicine,0,meconium aspiration syndrome,baby breath problem with poop in lungs,1,steroid medicine,meconium aspiration in newborns,0,0,0,0
CD008811,Manual small incision cataract surgery (MSICS) with posterior chamber intraocular lens versus extracapsular cataract extraction (ECCE) with posterior chamber intraocular lens for age‐related cataract,cataract surgery,cataract surgery,0,age-related cataract,cloudy eye lens,0,cataract surgery,cloudy eye lens,0,1,0,0
CD002276,Drug treatment for facioscapulohumeral muscular dystrophy,drug treatment,drug treatment,0,facioscapulohumeral muscular dystrophy,muscle weakness disease,0,drug treatment,muscle weakness disease,0,1,0,0
CD008373,Pharmacological treatment for depression during opioid agonist treatment for opioid dependence,antidepressants,antidepressive medicine,0,depression,depression,0,antidepressive medicine,depression,0,0,1,0
CD005124,Antenatal psychosocial assessment for reducing perinatal mental health morbidity,antenatal psychosocial assessment,checking mental health during pregnancy,0,perinatal mental health morbidity,mental health problems around birth,0,checking mental health during pregnancy,mental health problems around birth,0,0,0,0
CD005324,Bisphosphonate therapy for children and adolescents with secondary osteoporosis,bisphosphonate therapy,bone medicine,0,secondary osteoporosis,weak bones from illness,0,bone medicine,weak bones from illness,0,0,0,0
CD003844,Lung protective ventilation strategy for the acute respiratory distress syndrome,lung-protective ventilation,lung-protective breathing,0,acute respiratory distress syndrome,severe lung problem,0,lung-protective breathing,severe lung problem,0,0,0,0
CD005521,Systemic corticosteroids for acute gout,systemic corticosteroids,steroid medicine,0,acute gout,sudden joint pain from gout,0,steroid medicine,sudden joint pain from gout,0,0,0,0
CD009689,Multidisciplinary rehabilitation following botulinum toxin and other focal intramuscular treatment for post‐stroke spasticity,multidisciplinary rehabilitation,rehab after injection,1,post-stroke spasticity,stiff muscles after stroke,0,rehabilitation after injection,stiff muscles after stroke,0,0,0,0
CD000270,Community mental health teams (CMHTs) for people with severe mental illnesses and disordered personality,community mental health teams,mental health team,0,serious mental illness,serious mental illness,0,mental health team,serious mental illness,0,0,1,0
CD003778,Glucocorticosteroids for primary biliary cirrhosis,glucocorticosteroids,steroid medicine,0,primary biliary cirrhosis,liver disease,0,steroid medicine,liver disease,0,0,0,0
CD004722,Transdermal nicotine for induction of remission in ulcerative colitis,transdermal nicotine,nicotine patch,0,ulcerative colitis,bowel problem,1,nicotine patch,ulcerative colitis,0,0,0,0
CD008511,Social skills groups for people aged 6 to 21 with autism spectrum disorders (ASD),social skills groups,social skills groups,0,autism spectrum disorders,autism,0,social skills groups,autism,0,1,0,0
CD004805,"Combined calcium, magnesium and potassium supplementation for the management of primary hypertension in adults","combined calcium, magnesium and potassium supplementation",mineral pills,0,primary hypertension,high blood pressure,0,mineral pills,high blood pressure,0,0,0,0
CD006060,Pioglitazone for type 2 diabetes mellitus,pioglitazone,medicine for diabetes,0,type 2 diabetes mellitus,type 2 diabetes,0,medicine for diabetes,type 2 diabetes,0,0,0,0
CD005383,Antithrombin for respiratory distress syndrome in preterm infants,antithrombin concentrate,medicine,1,respiratory distress syndrome,breathing trouble in premature babies,0,antithrombin medicine,breathing trouble in premature babies,0,0,0,0
CD000563,Post‐operative radiotherapy for ductal carcinoma in situ of the breast,radiotherapy,treatment,1,ductal carcinoma in situ,breast cancer that hasn't spread,0,radiation therapy,breast cancer that hasn't spread,0,0,0,0
CD005332,Pharmacotherapy and psychotherapy for body dysmorphic disorder,pharmacotherapy and psychotherapy,medication and therapy,0,body dysmorphic disorder,disorder where people worry too much about their appearance,0,medication and therapy,disorder where people worry too much about their appearance,0,0,0,0
CD003387,Transcranial magnetic stimulation for the treatment of obsessive‐compulsive disorder,transcranial magnetic stimulation,magnetic brain treatment,0,obsessive-compulsive disorder,obsessive-compulsive disorder,0,magnetic brain treatment,obsessive-compulsive disorder,0,0,1,0
CD009073,Pedicle screw fixation for traumatic fractures of the thoracic and lumbar spine,pedicle screw fixation,screw surgery for spine breaks,0,traumatic fractures of the thoracic and lumbar spine,spine fractures from injury,0,screw surgery for spine breaks,spine fractures from injury,0,0,0,0
CD004444,Gangliosides for acute spinal cord injury,gangliosides,medicine for nerves,0,acute spinal cord injury,spinal injury,0,medicine for nerves,spinal injury,0,0,0,0
CD004225,Exercise for diabetic pregnant women,exercise,exercise,0,diabetes in pregnancy,diabetes in pregnancy,0,exercise,diabetes in pregnancy,1,1,1,1
CD005131,Oestrogens for preventing recurrent urinary tract infection in postmenopausal women,oestrogens,medicine,1,recurrent urinary tract infection,repeat pee infections,1,estrogen medicine,repeat bladder infections,0,0,0,0
CD001816,Oral immunoglobulin for preventing necrotizing enterocolitis in preterm and low birth weight neonates,oral immunoglobulin,medicine from the body to protect the baby's gut,0,necrotizing enterocolitis,baby gut disease,0,medicine from the body to protect the baby's gut,baby gut disease,0,0,0,0
CD005167,Family interventions for bipolar disorder,family intervention,family support,0,bipolar disorder,bipolar disorder,0,family support,bipolar disorder,0,0,1,0
CD002002,Interferon in relapsing‐remitting multiple sclerosis,interferon,medicine,1,relapsing remitting multiple sclerosis,MS that flares and goes away,1,interferon medicine,multiple sclerosis that flares and goes away,0,0,0,0
CD004097,Dietary advice for treatment of type 2 diabetes mellitus in adults,dietary advice,food plan,0,type 2 diabetes mellitus,type 2 diabetes,0,food plan,type 2 diabetes,0,0,0,0
CD007621,Natalizumab for relapsing remitting multiple sclerosis,natalizumab,medicine for MS,0,relapsing-remitting multiple sclerosis,MS,1,medicine for MS,multiple sclerosis,0,0,0,0
CD002809,Intra‐uterine insemination versus timed intercourse or expectant management for cervical hostility in subfertile couples,intrauterine insemination,medicine to place sperm in the womb,0,cervical hostility,womb problem for getting pregnant,1,medicine to place sperm in the womb,bad cervical mucus that hurts fertility,0,0,0,0
CD008664,Thalidomide for managing cancer cachexia,thalidomide,medicine,1,cancer cachexia,cancer weight loss,0,thalidomide,cancer weight loss,0,0,0,0
CD008596,Histamine H2‐receptor antagonists for urticaria,H2-receptor antagonist,medicine,1,urticaria,hives,0,medicine to block histamine,hives,0,0,0,0
CD008005,Sapropterin dihydrochloride for phenylketonuria,sapropterin dihydrochloride,medicine,1,phenylketonuria,blood problem babies are born with,1,medicine to lower phenylalanine,phenylketonuria,0,0,0,0
CD000134,Maternal hydration for increasing amniotic fluid volume in oligohydramnios and normal amniotic fluid volume,maternal hydration,drinking more water,0,oligohydramnios,low water around baby,1,drinking more water,low amniotic fluid,0,0,0,0
CD007415,Temozolomide for high grade glioma,temozolomide,chemotherapy drug,0,high grade glioma,brain cancer,0,chemotherapy drug,brain cancer,0,0,0,0
CD005335,Combined psychotherapy plus benzodiazepines for panic disorder,combined psychotherapy and benzodiazepines,therapy and medicine for panic,0,panic disorder,panic disorder,0,therapy and medicine for panic,panic disorder,0,0,1,0
CD001083,Cyclosporine for treating rheumatoid arthritis,cyclosporine,medicine for arthritis,0,rheumatoid arthritis,arthritis,0,medicine for arthritis,arthritis,0,0,0,0
CD006719,Alkylating agents for Waldenstrom's macroglobulinaemia,alkylating agents,chemotherapy drugs,0,Waldenstrom's macroglobulinaemia,a rare blood cancer,0,chemotherapy drugs,a rare blood cancer,0,0,0,0
CD007687,Mifepristone for uterine fibroids,mifepristone,medicine to stop heavy periods,0,uterine fibroids,lumps in womb,1,medicine to stop heavy periods,noncancerous womb growths,0,0,0,0
CD009194,Surfactant therapy for bronchiolitis in critically ill infants,surfactant therapy,medicine,1,bronchiolitis,baby lung infection,0,surfactant medicine,baby lung infection,0,0,0,0
CD004760,Creatine for treating muscle disorders,creatine,muscle supplement,1,muscle weakness,weak muscles,0,creatin,weak muscles,0,0,0,0
CD002194,Multidisciplinary biopsychosocial rehabilitation for neck and shoulder pain among working age adults,multidisciplinary biopsychosocial rehabilitation,rehab for pain,1,neck and shoulder pain,neck and shoulder pain,0,rehabilitation for pain,neck and shoulder pain,0,0,1,0
CD007441,Single dose oral lornoxicam for acute postoperative pain in adults,lornoxicam,pain medicine,0,acute postoperative pain,after surgery pain,0,pain medicine,after surgery pain,0,0,0,0
CD003235,Emergency interventions for hyperkalaemia,emergency interventions,quick medicine for high potassium,0,hyperkalaemia,high potassium in blood,0,quick medicine for high potassium,high potassium in blood,0,0,0,0
CD000373,Kinesthetic stimulation for preventing apnea in preterm infants,kinesthetic stimulation,movement stimulation,0,apnea,stopped breathing in babies,0,movement stimulation,stopped breathing in babies,0,0,0,0
CD008358,Magnesium for alcohol withdrawal,magnesium,magnesium,0,alcohol withdrawal,alcohol withdrawal,0,magnesium,alcohol withdrawal,1,1,1,1
CD004913,Vaccines for preventing smallpox,smallpox vaccines,smallpox vaccine,0,smallpox,smallpox,0,smallpox vaccine,smallpox,0,0,1,0
CD009324,Losigamone add‐on therapy for focal epilepsy,losigamone,medicine for seizures,0,focal epilepsy,seizure disorder,0,medicine for seizures,seizure disorder,0,0,0,0
CD006686,Bradykinin beta‐2 receptor antagonists for acute traumatic brain injury,bradykinin beta-2 receptor antagonists,medicine to reduce brain swelling,0,acute traumatic brain injury,severe head injury from trauma,0,medicine to reduce brain swelling,severe head injury from trauma,0,0,0,0
CD006301,High‐dose chemotherapy and autologous haematopoietic stem cell rescue for children with high‐risk neuroblastoma,high-dose chemotherapy and autologous haematopoietic stem cell rescue,strong chemotherapy and treatment,1,high-risk neuroblastoma,serious childhood brain tumor,0,strong chemotherapy and stem cell treatment,serious childhood brain tumor,0,0,0,0
CD001687,"Reduced salt intake compared to normal dietary salt, or high intake, in pregnancy",reduced salt intake,less salt in diet,0,pre-eclampsia,high blood pressure in pregnancy,0,less salt in diet,high blood pressure in pregnancy,0,0,0,0
CD001310,Electrical stimulation for faecal incontinence in adults,electrical stimulation,electrical treatment,0,faecal incontinence,leaking poop,1,electrical treatment,bowel leakage,0,0,0,0
CD004309,Single dose oral etoricoxib for acute postoperative pain in adults,single dose oral etoricoxib,pain medicine,0,acute postoperative pain,pain after surgery,0,pain medicine,pain after surgery,0,0,0,0
CD005372,Oxygen therapy during exercise training in chronic obstructive pulmonary disease,supplemental oxygen during exercise training,oxygen during exercise,0,chronic obstructive pulmonary disease,lung disease that lasts for a long time,1,oxygen during exercise,lung disease,0,0,0,0
CD004748,Velnacrine for Alzheimer's disease,velnacrine,medicine for memory loss,0,Alzheimer's disease,Alzheimer's,1,medicine for memory loss,Alzheimer's disease,0,0,0,0
CD004771,Intravenous or intramuscular parecoxib for acute postoperative pain in adults,parecoxib,pain medicine,0,acute postoperative pain,pain after surgery,0,pain medicine,pain after surgery,0,0,0,0
CD004887,Human recombinant activated factor VII for upper gastrointestinal bleeding in patients with liver diseases,recombinant human activated factor VII,blood clot medicine,0,upper gastrointestinal bleeding,stomach bleeding in liver disease,0,blood clot medicine,stomach bleeding in liver disease,0,0,0,0
CD006520,Psychotherapies for hypochondriasis,psychotherapy,therapy,0,hypochondriasis,health anxiety,0,therapy,health anxiety,0,0,0,0
CD001524,Yoga for epilepsy,yoga,yoga,0,epilepsy,seizure disorder,1,yoga,epilepsy,0,1,0,0
CD005942,Exercise or other physical activity for preventing pre‐eclampsia and its complications,exercise,exercise,0,pre-eclampsia,high blood pressure in pregnancy,0,exercise,high blood pressure in pregnancy,0,1,0,0
CD003802,Melatonin for the treatment of dementia,melatonin,supplement,1,dementia,memory and thinking problem,1,melatonin medicine,dementia,0,0,0,0
CD003724,Antidepressant drugs for narcolepsy,antidepressant,antidepressant medicine,0,narcolepsy,sleep disorder,0,antidepressant medicine,sleep disorder,0,0,0,0
CD003043,Ursodeoxycholic acid and/or antibiotics for prevention of biliary stent occlusion,ursodeoxycholic acid and antibiotics,medicine and antibiotics ,1,biliary stent occlusion,liver blockage problem,1,medicine and antibiotics to prevent stent blockage,stent getting clogged in bile duct,0,0,0,0
CD001164,Zuclopenthixol decanoate for schizophrenia and other serious mental illnesses,zuclopenthixol decanoate,mental health medicine,1,schizophrenia and other serious mental illnesses,serious mental health problem,1,injectable mental health medicine,schizophrenia and serious mental illness,0,0,0,0
CD004731,Protein substitute for children and adults with phenylketonuria,protein substitute,protein supplement,0,phenylketonuria,blood problem babies are born with,1,protein supplement,phenylketonuria,0,0,0,0
CD001049,Mannitol for acute traumatic brain injury,mannitol,medicine for brain swelling,0,acute traumatic brain injury,severe head injury,0,medicine for brain swelling,severe head injury,0,0,0,0
CD001693,Peripheral retinal ablation for threshold retinopathy of prematurity in preterm infants,peripheral retinal ablation,eye treatment for babies,0,threshold retinopathy of prematurity,eye problem in premature babies,0,eye treatment for babies,eye problem in premature babies,0,0,0,0
CD005965,Artemether‐lumefantrine (four‐dose regimen) for treating uncomplicated falciparum malaria,artemether-lumefantrine four-dose regimen,medicine,1,uncomplicated falciparum malaria,malaria,1,artemether-lumefantrine four-dose medicine,malaria caused by falciparum,0,0,0,0
CD006983,Decompressive surgery for treating nerve damage in leprosy,decompressive surgery,surgery to relieve nerve pressure,0,nerve damage in leprosy,nerve damage,1,surgery to relieve nerve pressure,nerve damage from leprosy,0,0,0,0
CD001276,Intravenous aminophylline for acute severe asthma in children over two years receiving inhaled bronchodilators,intravenous aminophylline,medicine shot,0,acute severe asthma,severe asthma in kids,0,medicine shot,severe asthma in kids,0,0,0,0
CD001856,Medical anti‐shock trousers (pneumatic anti‐shock garments) for circulatory support in patients with trauma,medical anti-shock trousers,anti-shock trousers,1,trauma,injury,0,shock trousers,injury,0,0,0,0
CD005617,Corticosteroid injection for trigger finger in adults,corticosteroid injection,steroid shot,0,trigger finger,finger that locks,0,steroid shot,finger that locks,0,0,0,0
CD003323,Autologous chondrocyte implantation for full thickness articular cartilage defects of the knee,autologous chondrocyte implantation,cartilage cell surgery,0,full thickness articular cartilage defects of the knee,knee cartilage damage,0,cartilage cell surgery,knee cartilage damage,0,0,0,0
CD009600,Ergonomic positioning or equipment for treating carpal tunnel syndrome,ergonomic positioning or equipment,supporting position and tools,1,carpal tunnel syndrome,carpal tunnel pain,0,ergonomic keyboard or wrist support,carpal tunnel pain,0,0,0,0
CD003448,Laxatives for the management of constipation in people receiving palliative care,laxatives,poop medicine,1,constipation,constipation,0,laxatives,constipation,0,0,1,0
CD004410,New generation antipsychotics for first episode schizophrenia,new generation antipsychotics,new medicine,1,first episode schizophrenia,first time serious brain problem,1,new antipsychotic medicine,first time schizophrenia,0,0,0,0
CD006000,Azathioprine for primary biliary cirrhosis,azathioprine,medicine,0,primary biliary cirrhosis,liver disease,0,medicine,liver disease,0,0,0,0
CD009361,Colesevelam for type 2 diabetes mellitus,colesevelam,medicine,1,type 2 diabetes mellitus,type 2 diabetes,0,medicine for cholesterol,type 2 diabetes,0,0,0,0
